Fatal_Accident_Index,Fatal_Casualty_Type,Fatal_Casualty_Sex,Fatal_Casualty_Age
"200601TE00082",Pedal Cyclist,Male,96
"200601TE00088",Car_Driver,Male,40
"200601TE00096",Motor_Cycle_Rider,Male,35
"200601TE00097",Pedal Cyclist,Male,43
"200601TE00098",Motor_Cycle_Rider,Male,41
"200601TE00115",Motor_Cycle_Rider,Male,58
"200601TE00116",Car_Driver,Male,38
"200601TE00119",Car_Passenger,Male,21
"200601TE00123",Pedal Cyclist,Male,25
"200601TE00135",Pedestrian,Male,82
"200601TE00144",Pedestrian,Female,80
"200601TE00156",Pedestrian,Male,18
"200601TE00210",Pedestrian,Male,48
"200601TE00213",Motor_Cycle_Rider,Male,25
"200601TE00214",Car_Driver,Female,50
"200601TE00222",Motor_Cycle_Rider,Male,46
"200601TE00228",Pedestrian,Female,71
"200601TE00231",Pedestrian,Male,11
"200601TE00240",Pedestrian,Female,10
"200601TE00243",Car_Driver,Male,24
"200601TE00266",Pedestrian,Male,48
"200601TE00269",Pedal Cyclist,Female,27
"200601TE00273",Motor_Cycle_Passenger,Female,59
"200601TE00273",Motor_Cycle_Rider,Male,58
"200601TE00274",Pedestrian,Male,23
"200601TE00275",Pedestrian,Male,12
"200601TE00279",Pedestrian,Female,89
"200601TE00302",Car_Driver,Male,17
"200601TE00302",Car_Passenger,Male,18
"200601TE00323",Car_Passenger,Female,18
"200601TE00328",Pedestrian,Female,37
"200601TE00334",Car_Driver,Male,61
"200601TE00337",Car_Driver,Male,25
"200601TE09070",Pedestrian,Male,34
"200601TE09079",Bus_Passenger,Male,22
"2006030000177",Pedestrian,Male,79
"2006030000183",Car_Passenger,Male,18
"2006030000183",Car_Driver,Male,18
"2006030000248",Car_Driver,Male,18
"2006030000295",Car_Driver,Female,50
"2006030000413",Car_Driver,Male,31
"2006030000451",Pedestrian,Female,46
"2006030000647",Van_Driver,Male,47
"2006030000647",HGV_Driver,Male,32
"2006030000740",Car_Passenger,Female,58
"2006030000976",Motor_Cycle_Rider,Male,17
"2006030001021",Car_Driver,Male,61
"2006030001089",Car_Passenger,Male,74
"2006030001248",Motor_Cycle_Rider,Male,20
"2006030001299",Pedestrian,Male,87
"2006030001405",Motor_Cycle_Rider,Male,34
"2006030001492",Motor_Cycle_Rider,Male,26
"2006030001503",Other_Vehicle_Occupant,Male,40
"2006030001613",Car_Driver,Female,44
"2006030001629",Car_Passenger,Female,21
"2006030001629",Car_Passenger,Male,0
"2006030001629",Car_Driver,Male,19
"2006030001629",Car_Passenger,Female,16
"2006030001629",Car_Passenger,Female,8
"2006030001629",Car_Driver,Male,84
"2006030001731",Motor_Cycle_Rider,Female,33
"2006030001795",Motor_Cycle_Rider,Male,29
"2006030001810",Motor_Cycle_Rider,Male,44
"2006030001884",Car_Driver,Male,19
"2006030001884",Car_Passenger,Male,33
"2006030001977",Motor_Cycle_Rider,Male,39
"2006030002119",Pedal Cyclist,Male,53
"2006030002142",Car_Driver,Male,17
"2006030002183",Pedestrian,Male,14
"2006030002199",Car_Driver,Male,28
"2006030002199",Car_Driver,Male,18
"2006030002422",Car_Driver,Male,40
"2006030002422",Car_Passenger,Male,77
"2006030002423",Car_Driver,Male,19
"2006030002425",Motor_Cycle_Rider,Male,35
"2006030002437",Motor_Cycle_Rider,Male,18
"2006030002465",Car_Passenger,Male,30
"2006030002602",Motor_Cycle_Rider,Male,20
"2006030002674",Car_Passenger,Female,66
"2006030002709",Motor_Cycle_Rider,Male,22
"2006030002725",Pedestrian,Male,23
"2006030002757",Pedal Cyclist,Male,77
"2006030002767",Motor_Cycle_Passenger,Female,30
"2006030003041",Car_Passenger,Male,27
"2006030003110",HGV_Driver,Male,39
"2006030003274",Car_Driver,Male,17
"2006030003372",Car_Passenger,Female,35
"2006030003619",Pedestrian,Female,82
"2006030003658",Car_Driver,Male,82
